LOAD_OPTION,PLUGIN_NAME,PLUGIN_TYPE,PLUGIN_AUTHOR,PLUGIN_STATUS,PLUGIN_LIBRARY,PLUGIN_LICENSE,PLUGIN_VERSION,PLUGIN_DESCRIPTION,PLUGIN_TYPE_VERSION,PLUGIN_LIBRARY_VERSION
FORCE,binlog,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,This is a pseudo storage engine to represent the binlog in a transaction,80044.0,NULL
FORCE,mysql_native_password,AUTHENTICATION,Oracle Corporation,ACTIVE,NULL,GPL,1.1,Native MySQL authentication,2.1,NULL
FORCE,sha256_password,AUTHENTICATION,Oracle Corporation,ACTIVE,NULL,GPL,1.1,SHA256 password authentication,2.1,NULL
FORCE,caching_sha2_password,AUTHENTICATION,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Caching sha2 authentication,2.1,NULL
FORCE,sha2_cache_cleaner,AUDIT,Oracle Corporation,ACTIVE,NULL,GPL,1.0,Cache cleaner for Caching sha2 authentication,4.1,NULL
FORCE,daemon_keyring_proxy_plugin,DAEMON,Oracle,ACTIVE,NULL,GPL,1.0,A plugin that implements the keyring component services atop of the keyring plugin,80044.0,NULL
FORCE,CSV,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,CSV storage engine,80044.0,NULL
FORCE,MEMORY,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,1.0,"Hash based, stored in memory, useful for temporary tables",80044.0,NULL
FORCE,InnoDB,STORAGE ENGINE,Oracle Corporation,ACTIVE,NULL,GPL,8.0,"Supports transactions, row-level locking, and foreign keys",80044.0,NULL
FORCE,INNODB_TRX,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB transactions,80044.0,NULL
FORCE,INNODB_CMP,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression,80044.0,NULL
FORCE,INNODB_CMP_RESET,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression; reset cumulated counts,80044.0,NULL
FORCE,INNODB_CMPMEM,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compressed buffer pool,80044.0,NULL
FORCE,INNODB_CMPMEM_RESET,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compressed buffer pool; reset cumulated counts,80044.0,NULL
FORCE,INNODB_CMP_PER_INDEX,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression (per index),80044.0,NULL
FORCE,INNODB_CMP_PER_INDEX_RESET,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Statistics for the InnoDB compression (per index); reset cumulated counts,80044.0,NULL
FORCE,INNODB_BUFFER_PAGE,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Buffer Page Information,80044.0,NULL
FORCE,INNODB_BUFFER_PAGE_LRU,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Buffer Page in LRU,80044.0,NULL
FORCE,INNODB_BUFFER_POOL_STATS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Buffer Pool Statistics Information ,80044.0,NULL
FORCE,INNODB_TEMP_TABLE_INFO,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Temp Table Stats,80044.0,NULL
FORCE,INNODB_METRICS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB Metrics Info,80044.0,NULL
FORCE,INNODB_FT_DEFAULT_STOPWORD,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,Default stopword list for InnDB Full Text Search,80044.0,NULL
FORCE,INNODB_FT_DELETED,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS DELETED TABLE,80044.0,NULL
FORCE,INNODB_FT_BEING_DELETED,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS BEING DELETED TABLE,80044.0,NULL
FORCE,INNODB_FT_CONFIG,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS CONFIG TABLE,80044.0,NULL
FORCE,INNODB_FT_INDEX_CACHE,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS INDEX CACHED,80044.0,NULL
FORCE,INNODB_FT_INDEX_TABLE,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,INNODB AUXILIARY FTS INDEX TABLE,80044.0,NULL
FORCE,INNODB_TABLES,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_TABLES,80044.0,NULL
FORCE,INNODB_TABLESTATS,INFORMATION SCHEMA,Oracle Corporation,ACTIVE,NULL,GPL,8.2,InnoDB INNODB_TABLESTATS,80044.0,NULL
